DonationID,ParticipantID,DonationDate,DonationAmount
D1,P2,2022-01-06,257.41
D2,P8,,55.26
D3,P9,,74.25
D4,P11,2022-11-17,103.83
D5,P17,2023-10-05,177.27
D6,P19,2023-06-12,108.29
D7,P20,2024-01-08,73.64
D8,P21,2023-07-21,50.71
D9,P21,2023-04-18,23.27
D10,P21,,401.52
D11,P22,2023-08-01,164.19
D12,P25,2023-05-18,1214.27
D13,P25,,251.44
D14,P26,2023-05-08,153.66
D15,P29,2022-11-09,28.69
D16,P30,2023-10-10,25.33
D17,P31,2024-01-07,27.38
D18,P41,2022-09-30,163.07
D19,P42,2022-04-18,173.89
D20,P44,2022-10-17,470.82
D21,P46,2022-04-23,24.43
D22,P47,,85.32
D23,P51,2022-02-14,261.14
D24,P51,,154.71
D25,P52,2023-11-23,180.75
D26,P54,2022-10-13,162.65
D27,P55,2022-03-07,487.44
D28,P56,2022-07-25,50.24
D29,P56,2023-10-26,543.08
D30,P56,,1069.24
D31,P58,,1032.55
D32,P60,,261.61
D33,P60,,275.08
D34,P60,,500.94
D35,P60,,186.88
D36,P61,,106.04
D37,P61,2024-03-15,159.88
D38,P63,2022-07-07,181.76
D39,P63,2022-06-02,84.39
D40,P65,2024-01-15,1012.53
D41,P67,2024-03-04,201.13
D42,P67,2024-01-10,60.35
D43,P67,,190.19
D44,P67,,50.07
D45,P68,2023-09-10,23.32
D46,P74,2024-04-27,422.99
D47,P75,2022-06-12,225.91
D48,P76,,744.35
D49,P77,2023-04-17,171.01
D50,P78,,998.03
D51,P80,2023-12-05,82.69
D52,P80,2023-06-26,180.01
D53,P84,2023-03-08,45.67
D54,P84,,26.09
D55,P85,2022-11-09,1131.58
D56,P85,2023-07-03,1010.02
D57,P89,2023-06-12,230.66
D58,P92,2023-11-07,519.78
D59,P97,,164.25
D60,P99,2022-05-22,43.29
D61,P99,,91.5
D62,P101,2023-12-21,41.09
D63,P109,,259.86
D64,P111,2022-09-23,855.59
D65,P111,2022-10-18,79.83
D66,P111,2022-06-16,26.32
D67,P112,,84.97
D68,P114,2022-10-16,90.7
D69,P115,2022-09-22,27.97
D70,P117,2022-11-03,280.34
D71,P119,,119.32
D72,P119,2023-04-20,304.63
D73,P120,2023-08-06,197.79
D74,P120,,48.34
D75,P122,2022-06-10,83.12
D76,P122,2022-05-13,247.0
D77,P123,2024-02-25,510.39
D78,P123,2023-02-20,247.67
D79,P126,2023-04-04,93.66
D80,P129,2023-10-02,255.49
D81,P129,,187.61
D82,P130,,111.01
D83,P131,,1126.17
D84,P131,,578.94
D85,P133,2024-07-02,227.02
D86,P135,,82.55
D87,P139,2023-11-25,1047.25
D88,P142,,1043.99
D89,P142,2024-01-31,22.96
D90,P143,,82.8
D91,P143,,173.16
D92,P144,2024-07-17,93.53
D93,P146,2022-08-11,88.2
D94,P149,2024-05-19,566.36
D95,P150,2022-06-16,73.53
D96,P155,2023-10-01,204.12
D97,P156,2022-10-23,25.72
D98,P157,,992.38
D99,P159,2022-11-06,93.59
D100,P159,2022-12-08,144.09
D101,P159,,821.94
D102,P160,2024-01-19,959.77
D103,P160,2022-12-27,1033.23
D104,P160,2022-09-08,49.81
D105,P161,2024-04-30,109.25
D106,P171,2022-10-29,65.36
D107,P172,2023-08-11,1180.16
D108,P172,2023-04-19,27.89
D109,P173,2023-07-18,24.08
D110,P173,,799.57
D111,P176,2023-09-20,229.6
D112,P178,,71.7
D113,P181,2023-09-19,161.12
D114,P183,2023-06-07,75.37
D115,P185,,483.58
D116,P185,2022-12-27,147.96
D117,P185,,134.06
D118,P186,2024-02-10,1052.91
D119,P186,2024-04-14,22.94
D120,P187,,288.89
D121,P187,,265.2
D122,P188,,213.21
D123,P188,,160.58
D124,P188,,206.01
D125,P189,,73.81
D126,P189,2024-01-11,504.56
D127,P189,2023-12-31,79.58
D128,P190,,488.4
D129,P194,,70.09
D130,P195,2022-10-31,572.12
D131,P195,2023-03-22,156.8
D132,P198,2022-09-26,112.63
D133,P199,2022-11-25,1083.59
D134,P201,2022-10-16,50.67
D135,P201,2023-11-18,26.13
D136,P201,2024-02-11,497.89
D137,P201,2023-11-25,78.68
D138,P204,2023-08-12,58.85
D139,P206,2023-09-18,185.01
D140,P207,2023-05-09,113.29
D141,P211,,115.62
D142,P213,2023-10-18,63.53
D143,P213,2023-09-15,21.29
D144,P213,2023-09-11,223.99
D145,P214,2024-05-03,78.58
D146,P215,2023-07-23,229.34
D147,P218,2024-05-06,26.86
D148,P221,2024-02-11,155.08
D149,P222,,23.13
D150,P225,2024-07-17,125.36
D151,P225,,127.4
D152,P230,2023-05-06,71.16
D153,P234,,26.38
D154,P235,,167.83
D155,P236,,210.88
D156,P237,2022-11-29,53.68
D157,P239,,67.82
D158,P240,2024-06-12,65.14
D159,P242,2024-06-20,1023.22
D160,P243,2024-04-04,486.57
D161,P243,2024-06-23,211.88
D162,P246,2024-07-26,267.54
D163,P250,2024-05-27,78.74
D164,P252,,78.37
D165,P253,2024-11-10,82.07
D166,P255,2024-08-30,780.16
D167,P256,,125.98
D168,P256,,102.28
D169,P256,,83.87
D170,P257,,211.45
D171,P261,,247.41
D172,P261,2024-08-28,200.13
D173,P262,2023-01-12,155.18
D174,P263,2023-04-17,248.13
D175,P263,,250.3
D176,P264,2023-01-20,70.88
D177,P267,2023-03-04,201.19
D178,P267,2024-10-16,216.77
D179,P269,,232.61
D180,P270,2023-07-22,438.31
D181,P271,,45.9
D182,P272,,1040.38
D183,P272,2024-12-18,74.29
D184,P272,2024-12-16,158.76
D185,P273,2023-10-03,23.86
D186,P274,,80.47
D187,P274,2024-10-21,74.85
D188,P275,2023-07-14,225.53
D189,P278,2024-06-22,455.51
D190,P283,2024-02-16,82.53
D191,P287,2023-03-16,57.33
D192,P288,2023-05-28,76.94
D193,P294,2023-11-17,49.02
D194,P298,2024-10-23,465.97
D195,P299,2023-09-20,139.89
D196,P303,2024-07-31,74.74
D197,P304,2024-06-14,230.96
D198,P305,2024-03-21,52.89
D199,P308,2024-02-25,52.05
D200,P311,2025-01-15,203.19
D201,P315,2023-06-04,94.37
D202,P317,2023-11-24,69.49
D203,P319,2024-10-20,473.94
D204,P324,,184.51
D205,P325,,921.39
D206,P329,2023-02-12,61.94
D207,P329,2023-01-24,78.41
D208,P330,2023-02-10,1106.46
D209,P332,2023-10-07,1104.52
D210,P332,2024-09-03,74.4
D211,P333,,530.11
D212,P338,,68.74
D213,P338,,114.25
D214,P338,2023-12-14,70.48
D215,P339,,40.69
D216,P340,2024-01-14,203.43
D217,P341,2023-03-07,136.01
D218,P345,,162.92
D219,P347,2023-04-03,220.57
D220,P354,2023-06-04,213.63
D221,P361,2024-08-28,23.7
D222,P361,,110.91
D223,P361,2024-07-02,58.77
D224,P362,2023-11-10,544.27
D225,P363,,474.36
D226,P363,2025-04-16,49.18
D227,P363,,1031.71
D228,P366,2024-06-17,111.57
D229,P371,2023-05-19,248.54
D230,P372,,29.45
D231,P373,2024-06-12,21.88
D232,P373,2023-10-06,223.77
D233,P376,,176.89
D234,P378,2023-11-12,44.88
D235,P378,,30.09
D236,P385,2023-09-18,279.42
D237,P387,,494.09
D238,P388,,144.09
D239,P389,,73.35
D240,P389,,269.29
D241,P389,,233.54
D242,P393,,1152.45
D243,P394,2025-06-07,260.27
D244,P395,,148.71
D245,P396,2023-09-25,484.0
D246,P397,,138.45
D247,P397,2024-03-11,26.26
D248,P398,,55.3
D249,P404,,85.81
D250,P406,,193.09
D251,P406,2024-05-02,80.67
D252,P406,,1011.29
D253,P407,2024-11-30,237.63
D254,P414,2024-02-11,47.32
D255,P414,2024-02-15,101.51
D256,P416,2023-10-05,264.32
D257,P417,2023-10-21,104.83
D258,P420,2023-10-30,108.81
D259,P421,2024-05-24,249.69
D260,P421,,883.68
D261,P422,2025-01-14,148.78
D262,P422,2023-09-15,23.45
D263,P424,,140.19
D264,P429,2025-01-13,430.23
D265,P431,2024-11-28,82.71
D266,P433,2023-12-09,153.69
D267,P437,,527.14
D268,P443,,76.0
D269,P446,2023-10-07,1015.65
D270,P447,,252.16
D271,P449,2024-09-30,216.3
D272,P449,2024-03-02,89.49
D273,P450,,264.36
D274,P450,2024-05-26,500.12
D275,P450,2023-07-11,191.55
D276,P450,,67.87
D277,P458,2023-07-14,268.55
D278,P458,2024-02-13,94.09
D279,P458,2024-03-19,48.93
D280,P459,,154.41
D281,P459,2025-02-08,88.68
D282,P460,2023-12-31,129.79
D283,P465,2023-11-25,484.29
D284,P467,2025-06-04,86.46
D285,P469,2024-03-11,997.28
D286,P471,2024-09-17,464.84
D287,P471,2025-06-04,279.23
D288,P472,,77.39
D289,P472,2024-02-06,278.79
D290,P472,2025-06-30,26.76
D291,P474,,25.35
D292,P476,2025-03-19,96.41
D293,P476,2024-07-22,153.77
D294,P477,2025-08-01,974.13
D295,P479,2023-11-05,483.1
D296,P481,2025-02-16,843.07
D297,P483,2024-10-13,1018.98
D298,P486,2024-01-21,24.98
D299,P487,2024-01-23,992.41
D300,P487,2023-08-28,229.29
D301,P488,,27.72
D302,P489,,920.76
D303,P492,2024-02-04,95.33
D304,P492,,24.4
D305,P495,,78.8
D306,P498,2024-02-20,189.45
D307,P503,2024-03-09,26.95
D308,P503,,453.63
D309,P503,2025-02-25,205.48
D310,P503,2024-04-17,67.15
D311,P504,2024-07-14,281.85
D312,P506,,80.77
D313,P510,2024-11-24,920.69
D314,P511,2025-07-14,81.68
D315,P512,2024-07-20,73.44
D316,P513,,1151.95
D317,P514,2023-11-10,141.46
D318,P518,2025-01-29,49.96
D319,P518,2024-05-11,104.78
D320,P518,,540.82
D321,P521,,86.6
D322,P521,2024-02-28,50.22
D323,P523,2024-11-17,277.99
D324,P530,,264.86
D325,P532,2024-07-19,912.69
D326,P536,2025-08-15,80.43
D327,P537,,87.63
D328,P540,2024-09-04,239.78
D329,P540,2023-12-04,185.34
D330,P542,,223.9
D331,P545,2025-03-03,91.73
D332,P546,,49.94
D333,P548,2024-08-20,28.9
D334,P550,2025-04-03,84.01
D335,P552,2025-10-31,23.95
D336,P553,,90.79
D337,P556,2025-10-19,27.74
D338,P557,2024-09-03,1005.39
D339,P559,,23.05
D340,P560,2025-11-08,26.06
D341,P561,2025-10-07,99.58
D342,P561,,203.63
D343,P561,,98.49
D344,P561,,490.35
D345,P562,,241.89
D346,P567,2024-10-19,1026.42
D347,P568,2025-05-01,55.37
D348,P568,2025-12-14,238.53
D349,P575,,71.01
D350,P579,2025-03-17,110.2
D351,P580,2024-01-24,55.84
D352,P580,2025-08-26,88.98
D353,P581,2025-11-24,132.82
D354,P582,2024-08-19,146.62
D355,P583,2024-10-17,233.95
D356,P587,2024-12-08,44.84
D357,P590,2025-09-19,252.19
D358,P590,,76.47
D359,P591,2024-04-18,22.43
D360,P592,,25.19
D361,P592,2023-12-25,117.42
D362,P593,2024-12-29,94.05
D363,P593,2024-10-30,71.75
D364,P595,,528.08
D365,P595,,24.33
D366,P596,2024-02-07,107.87
D367,P596,,85.9
D368,P596,,256.59
D369,P597,2024-05-24,86.39
D370,P597,,1029.21
D371,P597,2025-03-07,271.82
D372,P598,2025-06-29,53.45
D373,P600,2024-11-07,210.37
D374,P605,2024-07-21,239.35
D375,P605,,23.86
D376,P605,2025-02-06,69.64
D377,P609,,199.23
D378,P610,2024-04-21,28.92
D379,P611,,219.52
D380,P611,,40.3
D381,P612,2024-09-08,80.07
D382,P612,2026-03-17,245.34
D383,P613,2025-06-27,426.15
D384,P615,2025-05-19,164.86
D385,P617,,212.51
D386,P618,,26.56
D387,P618,2024-07-19,73.25
D388,P621,,901.21
D389,P625,2025-03-06,135.77
D390,P625,2025-11-21,238.68
D391,P626,2025-03-12,47.69
D392,P628,2025-10-30,84.87
D393,P629,2026-03-01,97.95
D394,P630,,82.69
D395,P632,,200.87
D396,P633,2024-09-06,211.57
D397,P633,,98.1
D398,P633,2025-02-28,65.98
D399,P634,,26.71
D400,P637,2025-08-17,92.89
D401,P638,2025-10-02,238.94
D402,P638,2025-12-09,487.36
D403,P641,2025-03-02,467.43
D404,P644,,269.97
D405,P650,2024-05-04,756.04
D406,P651,2024-08-14,246.69
D407,P656,2025-12-01,826.27
D408,P658,,19.52
D409,P660,2024-06-27,51.25
D410,P660,2024-08-21,53.51
D411,P661,,165.11
D412,P666,2025-04-27,97.18
D413,P666,2025-04-23,988.7
D414,P668,2024-11-25,1070.26
D415,P670,,47.4
D416,P672,2025-02-16,51.74
D417,P674,,78.65
D418,P675,2025-02-12,20.43
D419,P677,2025-10-20,1104.82
D420,P677,2025-09-01,245.84
D421,P677,2025-02-09,25.71
D422,P677,2025-12-09,438.61
D423,P678,,26.09
D424,P680,2026-01-01,69.62
D425,P682,2026-02-08,24.75
D426,P686,2026-01-26,207.57
D427,P687,,189.89
D428,P687,2026-06-03,551.84
D429,P688,2026-04-18,519.26
D430,P692,2026-02-04,227.99
D431,P693,,75.68
D432,P693,,27.32
D433,P695,2025-09-05,299.25
D434,P702,2024-10-21,44.28
D435,P703,,67.53
D436,P704,,145.5
D437,P704,2025-05-30,69.06
D438,P707,2024-12-26,208.29
D439,P708,2026-04-09,23.54
D440,P709,,148.42
D441,P710,2025-12-16,232.51
D442,P711,2024-12-08,77.66
D443,P713,2025-07-01,79.58
D444,P715,2026-04-05,89.38
D445,P717,,72.18
D446,P722,,125.34
D447,P724,,201.68
D448,P724,,53.63
D449,P729,,77.59
D450,P732,2026-01-11,1061.95
D451,P734,,54.59
D452,P734,,195.1
D453,P735,,267.08
D454,P736,2024-11-09,184.03
D455,P738,,152.12
D456,P741,2026-07-22,21.11
D457,P742,,517.32
D458,P742,,196.78
D459,P742,,179.73
D460,P742,,116.62
D461,P746,2026-05-26,80.02
D462,P746,2025-08-07,69.85
D463,P747,2025-05-15,25.24
D464,P748,2025-06-11,50.93
D465,P748,,47.46
D466,P749,2024-10-06,26.34
D467,P750,2025-04-21,251.35
D468,P751,2025-02-19,59.75
D469,P752,,27.11
D470,P753,,222.63
D471,P753,2026-01-30,146.03
D472,P754,,141.52
D473,P756,,893.27
D474,P756,,24.39
D475,P758,2025-05-22,173.77
D476,P760,2024-12-25,503.91
D477,P760,2026-08-08,220.17
D478,P762,,25.47
D479,P764,2026-02-22,24.4
D480,P764,2024-12-13,331.22
D481,P765,2026-02-20,947.3
D482,P765,2024-09-28,238.64
D483,P774,2024-09-15,139.29
D484,P777,2025-11-07,22.77
D485,P778,,90.42
D486,P779,,67.08
D487,P779,2026-03-22,140.31
D488,P781,2024-11-20,70.34
D489,P782,,50.28
D490,P782,2025-06-15,1070.23
D491,P784,,150.14
D492,P785,2026-08-01,469.9
D493,P785,2024-11-30,1122.55
D494,P786,,455.24
D495,P787,2025-01-30,49.46
D496,P787,2026-04-03,25.68
D497,P791,2025-10-11,25.52
D498,P792,2026-09-06,149.11
D499,P793,2025-06-18,451.22
D500,P794,2025-09-24,86.14
D501,P794,2026-08-01,25.32
D502,P794,2026-08-07,52.97
D503,P794,2026-06-28,229.87
D504,P795,2026-07-06,23.88
D505,P796,2025-02-05,79.57
D506,P796,,444.52
D507,P796,,137.45
D508,P801,2025-06-06,187.04
D509,P801,,96.83
D510,P804,,138.46
D511,P804,2026-10-14,105.18
D512,P805,2025-04-11,86.8
D513,P805,,185.54
D514,P806,,139.09
D515,P806,2025-06-10,82.79
D516,P807,2026-05-16,147.52
D517,P808,2024-10-30,214.25
D518,P810,,1090.97
D519,P810,2025-10-27,139.39
D520,P811,2026-08-26,63.79
D521,P811,2025-06-22,172.9
D522,P812,2026-05-03,49.64
D523,P813,,517.77
D524,P816,2025-10-15,143.75
D525,P819,2025-08-16,985.99
D526,P820,2026-05-19,517.2
D527,P821,2025-10-05,77.2
D528,P821,2025-02-17,26.48
D529,P822,2024-12-21,121.81
D530,P823,2025-03-18,49.61
D531,P823,2025-10-21,228.81
D532,P824,,117.36
D533,P824,,57.94
D534,P824,2024-12-13,27.79
D535,P824,2026-02-14,22.95
D536,P826,2026-02-15,262.14
D537,P827,,150.15
D538,P836,2024-11-09,212.5
D539,P838,2025-12-05,202.37
D540,P839,2026-08-31,152.04
D541,P839,,451.88
D542,P841,2026-07-19,146.3
D543,P842,,1074.62
D544,P847,2026-05-02,225.91
D545,P849,,253.77
D546,P849,2025-08-04,170.2
D547,P849,,154.9
D548,P849,2024-12-31,105.19
D549,P850,,105.38
D550,P850,,149.53
D551,P862,,271.73
D552,P866,2026-07-07,213.1
D553,P871,,25.93
D554,P873,,893.38
D555,P873,,251.09
D556,P874,2025-06-15,48.42
D557,P877,2025-07-12,256.36
D558,P879,,19.91
D559,P881,2026-10-01,247.2
D560,P881,2027-01-31,56.14
D561,P882,,199.5
D562,P882,2025-12-07,432.2
D563,P884,,185.81
D564,P885,2026-03-04,211.75
D565,P888,2026-10-25,486.6
D566,P889,,49.84
D567,P890,2025-10-21,54.69
D568,P894,,48.52
D569,P895,2026-04-25,69.81
D570,P895,,522.81
D571,P896,,193.18
D572,P897,,918.48
D573,P897,2027-03-07,197.11
D574,P897,2026-10-09,218.22
D575,P899,2025-07-23,283.51
D576,P901,2025-02-01,240.19
D577,P909,2026-10-28,26.18
D578,P910,2026-12-26,948.14
D579,P910,2026-11-09,214.74
D580,P910,2026-06-19,105.26
D581,P913,2026-01-07,36.83
D582,P915,2026-06-30,97.09
D583,P915,2026-06-12,488.74
D584,P915,2026-07-24,289.1
D585,P917,2026-05-31,440.95
D586,P918,2026-09-25,99.36
D587,P919,,233.24
D588,P919,2026-08-19,75.19
D589,P919,2026-02-04,74.82
D590,P919,2027-03-05,239.42
D591,P922,,1077.6
D592,P922,,73.7
D593,P922,,137.72
D594,P923,2026-11-09,529.28
D595,P923,2026-12-24,268.66
D596,P927,,48.41
D597,P927,,290.34
D598,P927,2027-03-21,61.99
D599,P929,2025-09-11,61.8
D600,P932,,425.65
D601,P932,2026-10-28,96.99
D602,P933,2027-02-27,909.04
D603,P934,,26.44
D604,P934,2026-09-09,75.45
D605,P936,2025-09-30,88.96
D606,P936,2025-09-16,551.11
D607,P937,,294.52
D608,P939,2025-12-11,116.5
D609,P942,,75.89
D610,P942,,98.85
D611,P945,,64.66
D612,P949,2025-03-26,947.18
D613,P952,2026-07-31,74.58
D614,P954,2027-03-28,50.96
D615,P955,2026-08-16,212.8
D616,P958,2026-01-25,204.4
D617,P963,2025-10-18,187.09
D618,P964,2026-10-31,75.26
D619,P965,2026-04-04,100.67
D620,P966,2026-06-30,81.9
D621,P967,,25.19
D622,P970,2025-08-30,164.81
D623,P971,2026-06-09,44.4
D624,P972,2026-03-19,246.45
D625,P974,2027-01-02,238.04
D626,P977,2025-08-28,23.81
D627,P980,2026-09-17,789.34
D628,P980,,142.24
D629,P980,2025-08-12,70.78
D630,P983,,1096.07
D631,P984,2025-11-17,512.71
D632,P985,2025-10-20,53.21
D633,P987,2027-03-16,143.33
D634,P988,2026-02-22,168.1
D635,P990,2026-04-07,905.66
D636,P990,,26.53
D637,P994,2026-06-20,38.61
D638,P994,2026-08-01,272.66
D639,P995,,210.99
D640,P997,2027-05-22,52.81
D641,P998,2026-01-05,28.27
D642,P1000,,110.52
D643,P1001,2025-12-06,540.01
D644,P1001,2026-10-22,124.69
D645,P1003,,51.09
D646,P1006,2026-12-14,46.67
D647,P1006,,982.25
D648,P1006,2026-07-22,51.47
D649,P1014,2027-01-24,24.56
D650,P1014,2026-08-08,73.13
D651,P1015,2026-09-22,185.64
D652,P1016,2027-07-02,208.1
D653,P1018,,198.99
D654,P1018,,499.98
D655,P1021,2026-03-21,487.86
D656,P1022,,143.03
D657,P1023,2027-08-11,55.28
D658,P1023,2026-07-28,178.16
D659,P1025,2026-05-06,229.69
D660,P1025,2025-09-22,54.28
D661,P1025,2026-04-26,1153.29
D662,P1027,,269.73
D663,P1029,2026-05-10,41.81
D664,P1030,,79.68
D665,P1032,2027-07-26,26.79
D666,P1032,2026-02-28,1107.05
D667,P1033,2025-11-02,97.45
D668,P1033,,177.93
D669,P1037,,1046.29
D670,P1041,2026-12-29,86.04
D671,P1043,,156.89
D672,P1043,2026-03-14,200.23
D673,P1049,,170.79
D674,P1052,,973.59
D675,P1053,2026-06-07,155.95
D676,P1055,2027-07-28,24.45
D677,P1056,2027-04-15,1090.42
D678,P1057,2027-10-14,457.0
D679,P1057,2025-12-25,40.17
D680,P1057,2026-11-15,45.33
D681,P1058,2026-07-16,196.37
D682,P1062,2026-02-17,28.98
D683,P1062,2026-09-09,143.75
D684,P1064,,176.58
D685,P1066,,970.78
D686,P1067,,431.92
D687,P1069,2027-02-26,235.97
D688,P1070,,552.31
D689,P1074,2027-04-30,264.67
D690,P1077,2027-10-15,20.32
D691,P1078,,150.76
D692,P1078,2026-07-04,194.87
D693,P1078,2027-02-25,175.44
D694,P1078,2026-04-11,215.94
D695,P1083,2027-08-04,41.34
D696,P1091,,27.14
D697,P1094,,61.76
D698,P1094,2026-04-07,412.4
D699,P1096,,169.64
D700,P1097,,1116.07
D701,P1102,,228.19
D702,P1102,,506.27
D703,P1102,2027-04-10,26.52
D704,P1102,2027-10-11,77.45
D705,P1103,,1044.94
D706,P1104,,140.4
D707,P1105,2027-05-26,149.46
D708,P1106,2026-06-03,72.85
D709,P1106,,106.93
D710,P1106,,571.63
D711,P1108,2027-08-19,948.18
D712,P1109,2026-04-05,22.65
D713,P1110,,70.24
D714,P1116,,1213.23
D715,P1116,,49.13
D716,P1116,2027-04-22,48.24
D717,P1118,2027-10-16,78.12
D718,P1118,,79.42
D719,P1119,,111.73
D720,P1119,2026-03-14,141.54
D721,P1119,,85.04
D722,P1119,2027-06-29,86.38
D723,P1120,2027-10-29,44.34
D724,P1122,,85.74
D725,P1123,2026-12-25,26.98
D726,P1123,2027-08-25,23.91
D727,P1126,,90.19
D728,P1127,,220.55
D729,P1127,,1022.13
D730,P1129,,287.21
D731,P1131,,542.21
D732,P1131,2022-10-18,109.98
D733,P1134,2024-01-14,106.98
D734,P1137,,135.8
D735,P1137,2023-04-16,940.55
D736,P1137,2022-04-25,539.39
D737,P1137,2022-04-21,1072.06
D738,P1142,2023-01-30,1083.31
D739,P1142,2023-08-17,1115.52
D740,P1142,,251.89
D741,P1143,,22.0
D742,P1145,,223.34
D743,P1146,2024-11-05,99.87
D744,P1146,2024-12-12,24.19
D745,P1146,2024-12-24,178.85
D746,P1146,2025-01-10,1157.4
D747,P1147,,548.72
D748,P1147,2025-01-03,179.35
D749,P1150,,23.4
D750,P1150,2024-06-25,26.08
D751,P1154,,841.2
D752,P1154,2025-05-08,923.08
D753,P1158,2026-10-21,87.14
D754,P1158,2026-12-23,148.43
D755,P1160,2026-01-14,179.22
D756,P1162,2027-04-19,75.43
D757,P1163,,49.26
D758,P1165,2027-06-27,167.12
D759,P1165,,205.84
D760,P1166,,149.61
D761,P1167,2027-05-16,479.45
D762,P1167,2025-10-07,161.55
D763,P1168,2026-02-13,114.75
D764,P1168,2027-07-10,1213.65
D765,P1172,,136.74
D766,P1172,2025-10-23,104.3
D767,P1172,,893.88
