DonationID,ParticipantID,DonationDate,DonationAmount
1,2,2022-01-06,257.41
2,8,,55.26
3,9,,74.25
4,11,2022-11-17,103.83
5,17,2023-10-05,177.27
6,19,2023-06-12,108.29
7,20,2024-01-08,73.64
8,21,2023-07-21,50.71
9,21,2023-04-18,23.27
10,21,,401.52
11,22,2023-08-01,164.19
12,25,2023-05-18,1214.27
13,25,,251.44
14,26,2023-05-08,153.66
15,29,2022-11-09,28.69
16,30,2023-10-10,25.33
17,31,2024-01-07,27.38
18,41,2022-09-30,163.07
19,42,2022-04-18,173.89
20,44,2022-10-17,470.82
21,46,2022-04-23,24.43
22,47,,85.32
23,51,2022-02-14,261.14
24,51,,154.71
25,52,2023-11-23,180.75
26,54,2022-10-13,162.65
27,55,2022-03-07,487.44
28,56,2022-07-25,50.24
29,56,2023-10-26,543.08
30,56,,1069.24
31,58,,1032.55
32,60,,261.61
33,60,,275.08
34,60,,500.94
35,60,,186.88
36,61,,106.04
37,61,2024-03-15,159.88
38,63,2022-07-07,181.76
39,63,2022-06-02,84.39
40,65,2024-01-15,1012.53
41,67,2024-03-04,201.13
42,67,2024-01-10,60.35
43,67,,190.19
44,67,,50.07
45,68,2023-09-10,23.32
46,74,2024-04-27,422.99
47,75,2022-06-12,225.91
48,76,,744.35
49,77,2023-04-17,171.01
50,78,,998.03
51,80,2023-12-05,82.69
52,80,2023-06-26,180.01
53,84,2023-03-08,45.67
54,84,,26.09
55,85,2022-11-09,1131.58
56,85,2023-07-03,1010.02
57,89,2023-06-12,230.66
58,92,2023-11-07,519.78
59,97,,164.25
60,99,2022-05-22,43.29
61,99,,91.5
62,101,2023-12-21,41.09
63,109,,259.86
64,111,2022-09-23,855.59
65,111,2022-10-18,79.83
66,111,2022-06-16,26.32
67,112,,84.97
68,114,2022-10-16,90.7
69,115,2022-09-22,27.97
70,117,2022-11-03,280.34
71,119,,119.32
72,119,2023-04-20,304.63
73,120,2023-08-06,197.79
74,120,,48.34
75,122,2022-06-10,83.12
76,122,2022-05-13,247.0
77,123,2024-02-25,510.39
78,123,2023-02-20,247.67
79,126,2023-04-04,93.66
80,129,2023-10-02,255.49
81,129,,187.61
82,130,,111.01
83,131,,1126.17
84,131,,578.94
85,133,2024-07-02,227.02
86,135,,82.55
87,139,2023-11-25,1047.25
88,142,,1043.99
89,142,2024-01-31,22.96
90,143,,82.8
91,143,,173.16
92,144,2024-07-17,93.53
93,146,2022-08-11,88.2
94,149,2024-05-19,566.36
95,150,2022-06-16,73.53
96,155,2023-10-01,204.12
97,156,2022-10-23,25.72
98,157,,992.38
99,159,2022-11-06,93.59
100,159,2022-12-08,144.09
101,159,,821.94
102,160,2024-01-19,959.77
103,160,2022-12-27,1033.23
104,160,2022-09-08,49.81
105,161,2024-04-30,109.25
106,171,2022-10-29,65.36
107,172,2023-08-11,1180.16
108,172,2023-04-19,27.89
109,173,2023-07-18,24.08
110,173,,799.57
111,176,2023-09-20,229.6
112,178,,71.7
113,181,2023-09-19,161.12
114,183,2023-06-07,75.37
115,185,,483.58
116,185,2022-12-27,147.96
117,185,,134.06
118,186,2024-02-10,1052.91
119,186,2024-04-14,22.94
120,187,,288.89
121,187,,265.2
122,188,,213.21
123,188,,160.58
124,188,,206.01
125,189,,73.81
126,189,2024-01-11,504.56
127,189,2023-12-31,79.58
128,190,,488.4
129,194,,70.09
130,195,2022-10-31,572.12
131,195,2023-03-22,156.8
132,198,2022-09-26,112.63
133,199,2022-11-25,1083.59
134,201,2022-10-16,50.67
135,201,2023-11-18,26.13
136,201,2024-02-11,497.89
137,201,2023-11-25,78.68
138,204,2023-08-12,58.85
139,206,2023-09-18,185.01
140,207,2023-05-09,113.29
141,211,,115.62
142,213,2023-10-18,63.53
143,213,2023-09-15,21.29
