EventInstanceID,EventDefinitionID,EventDateTimeStart,EventDateTimeEnd,EventLocation,EventCapacity,EventRegistrationDeadline
EI1,ED1,2024-10-06 10:00:00,2024-10-06 12:00:00,Ella Rises HQ,100,2024-09-29 10:00:00
EI2,ED2,2022-04-02 10:00:00,2022-04-02 12:00:00,Ella Rises HQ,100,2022-03-26 10:00:00
EI3,ED1,2024-10-27 10:00:00,2024-10-27 12:00:00,Virtual Zoom,100,2024-10-20 10:00:00
EI4,ED1,2022-09-11 10:00:00,2022-09-11 12:00:00,Art Studio 2,100,2022-09-04 10:00:00
EI5,ED1,2023-08-27 10:00:00,2023-08-27 12:00:00,Ella Rises HQ,100,2023-08-20 10:00:00
EI6,ED3,2024-11-05 10:00:00,2024-11-05 12:00:00,Community Center Room A,100,2024-10-29 10:00:00
EI7,ED1,2022-01-02 10:00:00,2022-01-02 12:00:00,Community Center Room A,100,2021-12-26 10:00:00
EI8,ED1,2025-10-05 10:00:00,2025-10-05 12:00:00,Local Library,100,2025-09-28 10:00:00
EI9,ED2,2023-11-18 10:00:00,2023-11-18 12:00:00,Community Center Room A,100,2023-11-11 10:00:00
EI10,ED1,2024-06-23 10:00:00,2024-06-23 12:00:00,Ella Rises HQ,100,2024-06-16 10:00:00
EI11,ED3,2023-04-04 10:00:00,2023-04-04 12:00:00,Community Center Room A,100,2023-03-28 10:00:00
EI12,ED4,2024-06-15 10:00:00,2024-06-15 12:00:00,Virtual Zoom,100,2024-06-08 10:00:00
EI13,ED5,2025-09-18 10:00:00,2025-09-18 12:00:00,Local Library,100,2025-09-11 10:00:00
EI14,ED2,2024-02-03 10:00:00,2024-02-03 12:00:00,Local Library,100,2024-01-27 10:00:00
EI15,ED1,2024-06-16 10:00:00,2024-06-16 12:00:00,Art Studio 2,100,2024-06-09 10:00:00
EI16,ED5,2024-09-05 10:00:00,2024-09-05 12:00:00,Community Center Room A,100,2024-08-29 10:00:00
EI17,ED1,2025-08-24 10:00:00,2025-08-24 12:00:00,Local Library,100,2025-08-17 10:00:00
EI18,ED6,2021-11-10 10:00:00,2021-11-10 12:00:00,Community Center Room A,100,2021-11-03 10:00:00
EI19,ED6,2023-03-01 10:00:00,2023-03-01 12:00:00,Community Center Room A,100,2023-02-22 10:00:00
EI20,ED1,2023-07-02 10:00:00,2023-07-02 12:00:00,Virtual Zoom,100,2023-06-25 10:00:00
EI21,ED3,2023-09-05 10:00:00,2023-09-05 12:00:00,Virtual Zoom,100,2023-08-29 10:00:00
EI22,ED7,2023-05-15 10:00:00,2023-05-15 12:00:00,Community Center Room A,100,2023-05-08 10:00:00
EI23,ED3,2025-03-18 10:00:00,2025-03-18 12:00:00,Local Library,100,2025-03-11 10:00:00
EI24,ED5,2022-09-29 10:00:00,2022-09-29 12:00:00,Local Library,100,2022-09-22 10:00:00
EI25,ED5,2023-06-01 10:00:00,2023-06-01 12:00:00,Local Library,100,2023-05-25 10:00:00
EI26,ED8,2025-10-10 10:00:00,2025-10-10 12:00:00,Community Center Room A,100,2025-10-03 10:00:00
EI27,ED6,2022-11-23 10:00:00,2022-11-23 12:00:00,Local Library,100,2022-11-16 10:00:00
EI28,ED6,2023-04-26 10:00:00,2023-04-26 12:00:00,Virtual Zoom,100,2023-04-19 10:00:00
EI29,ED3,2023-09-12 10:00:00,2023-09-12 12:00:00,Ella Rises HQ,100,2023-09-05 10:00:00
EI30,ED2,2025-05-03 10:00:00,2025-05-03 12:00:00,Local Library,100,2025-04-26 10:00:00
EI31,ED3,2022-08-30 10:00:00,2022-08-30 12:00:00,Local Library,100,2022-08-23 10:00:00
EI32,ED9,2022-06-15 10:00:00,2022-06-15 12:00:00,Community Center Room A,100,2022-06-08 10:00:00
EI33,ED8,2022-05-27 10:00:00,2022-05-27 12:00:00,Ella Rises HQ,100,2022-05-20 10:00:00
EI34,ED8,2022-06-24 10:00:00,2022-06-24 12:00:00,Ella Rises HQ,100,2022-06-17 10:00:00
EI35,ED1,2025-06-08 10:00:00,2025-06-08 12:00:00,Community Center Room A,100,2025-06-01 10:00:00
EI36,ED1,2024-04-21 10:00:00,2024-04-21 12:00:00,Local Library,100,2024-04-14 10:00:00
EI37,ED3,2024-06-11 10:00:00,2024-06-11 12:00:00,Virtual Zoom,100,2024-06-04 10:00:00
EI38,ED1,2024-01-14 10:00:00,2024-01-14 12:00:00,Ella Rises HQ,100,2024-01-07 10:00:00
EI39,ED5,2024-08-01 10:00:00,2024-08-01 12:00:00,Virtual Zoom,100,2024-07-25 10:00:00
EI40,ED2,2023-03-11 10:00:00,2023-03-11 12:00:00,Virtual Zoom,100,2023-03-04 10:00:00
EI41,ED3,2022-10-11 10:00:00,2022-10-11 12:00:00,Community Center Room A,100,2022-10-04 10:00:00
