MilestoneID,ParticipantID,MilestoneTitle,MilestoneDate
M1,P1,AA in Art & Design,2025-03-07
M2,P1,Clinical Data Coordinator,2024-11-03
M3,P2,Middle School Diploma,2022-08-29
M4,P2,Published Project,2022-11-13
M5,P3,High School Diploma,2025-05-02
M6,P4,Mentorship Program,2023-06-26
M7,P4,Internship,2022-09-28
M8,P4,BS in Information Systems,2024-01-21
M9,P5,High School Diploma,2023-12-31
M10,P6,Junior QA Tester,2029-06-02
M11,P7,Middle School Diploma,2025-10-18
M12,P7,Product Designer,2032-02-02
M13,P8,Published Project,2024-05-06
M14,P9,BA in Studio Arts,2029-11-13
M15,P9,High School Diploma,2026-11-13
M16,P10,AA in Art & Design,2022-02-15
M17,P10,Systems Analyst,2022-07-19
M18,P10,IT Help Desk Trainee,2022-02-04
M19,P11,Published Project,2023-07-27
M20,P11,Product Designer,2033-05-01
M21,P12,High School Diploma,2023-09-21
M22,P12,Internship,2024-01-11
M23,P13,Digital Illustration Certificate,2023-08-10
M24,P14,High School Diploma,2022-10-09
M25,P15,Competition Award,2024-01-03
M26,P16,Customer Support Rep,2025-11-09
M27,P17,Competition Award,2023-03-19
M28,P18,Digital Illustration Certificate,2028-02-04
M29,P19,Competition Award,2022-10-31
M30,P20,BS in Information Systems,2022-10-19
M31,P21,MFA in Studio Arts,2024-09-10
M32,P22,Internship,2025-03-28
M33,P23,High School Diploma,2023-11-25
M34,P24,Data Analytics Certificate,2023-04-12
M35,P24,Customer Support Rep,2022-03-12
M36,P25,Customer Support Rep,2025-07-29
M37,P26,Internship,2023-09-02
M38,P27,Internship,2023-11-02
M39,P27,BS in Information Systems,2024-03-11
M40,P28,Internship,2023-06-16
M41,P29,Camp Counselor,2025-07-16
M42,P30,Published Project,2024-01-26
M43,P31,BA in Studio Arts,2033-06-02
M44,P31,Data Analytics Certificate,2031-06-02
M45,P32,High School Diploma,2023-04-09
M46,P33,AA in Art & Design,2028-07-31
M47,P34,AAS in Drafting & Design,2025-08-22
M48,P35,BS in Mechanical Engineering,2032-12-16
M49,P36,Middle School Diploma,2026-01-28
M50,P36,AAS in Drafting & Design,2025-04-01
M51,P37,Studio Assistant,2025-03-05
M52,P38,Web Development Certificate,2026-03-06
M53,P39,Middle School Diploma,2023-08-14
M54,P40,Competition Award,2026-02-09
M55,P41,Middle School Diploma,2024-09-30
M56,P42,MBA,2022-04-01
M57,P43,Internship,2023-12-02
M58,P44,AA in Art & Design,2024-11-20
M59,P44,Middle School Diploma,2024-11-10
M60,P45,Published Project,2026-02-02
M61,P46,Mentorship Program,2026-01-14
M62,P47,Camp Counselor,2025-08-09
M63,P47,AA in Art & Design,2026-08-28
M64,P47,Published Project,2025-03-03
M65,P48,High School Diploma,2025-05-03
M66,P49,Clinical Data Coordinator,2029-06-02
M67,P49,Published Project,2022-03-24
M68,P50,Clinical Data Coordinator,2031-07-15
M69,P50,Retail Assistant,2024-06-09
M70,P51,Mentorship Program,2024-05-04
M71,P51,Competition Award,2023-09-01
M72,P52,Camp Counselor,2023-09-04
M73,P52,MFA in Studio Arts,2036-01-02
M74,P53,IT Help Desk Trainee,2024-05-30
M75,P53,Middle School Diploma,2024-08-29
M76,P54,Systems Analyst,2028-04-30
M77,P55,BA in Studio Arts,2024-11-22
M78,P56,Lifeguard,2025-11-11
M79,P57,Middle School Diploma,2023-04-28
M80,P57,Competition Award,2023-08-26
M81,P58,Internship,2024-10-10
M82,P58,BA in Studio Arts,2022-11-23
M83,P59,Internship,2024-04-05
M84,P60,Competition Award,2022-12-25
