RegistrationID,ParticipantID,EventInstanceID,RegistrationStatus,RegistrationAttendedFlag,RegistrationCheckInTime,RegistrationCreatedAt
R1,P1,EI1,attended,1,2024-10-06 10:01:00,2024-09-09 10:00:00
R2,P2,EI2,attended,1,2022-04-02 10:01:00,2022-03-30 10:00:00
R3,P3,EI3,attended,1,2024-10-27 10:14:00,2024-10-22 10:00:00
R4,P4,EI4,attended,1,2022-09-11 10:09:00,2022-09-05 10:00:00
R5,P5,EI5,attended,1,2023-08-27 10:10:00,2023-08-25 10:00:00
R6,P5,EI6,attended,1,2024-11-05 10:19:00,2024-10-24 10:00:00
R7,P5,EI7,attended,1,2022-01-02 10:28:00,2021-12-12 10:00:00
R8,P6,EI8,attended,1,2025-10-05 10:09:00,2025-09-27 10:00:00
R9,P6,EI9,attended,1,2023-11-18 10:19:00,2023-11-13 10:00:00
R10,P6,EI10,attended,1,2024-06-23 10:15:00,2024-06-10 10:00:00
R11,P6,EI11,attended,1,2023-04-04 10:03:00,2023-03-13 10:00:00
R12,P6,EI12,attended,1,2024-06-15 10:02:00,2024-05-24 10:00:00
R13,P7,EI13,attended,1,2025-09-18 10:08:00,2025-09-15 10:00:00
R14,P8,EI14,attended,1,2024-02-03 10:06:00,2024-01-16 10:00:00
R15,P8,EI15,attended,1,2024-06-16 10:22:00,2024-05-31 10:00:00
R16,P9,EI16,attended,1,2024-09-05 10:26:00,2024-08-12 10:00:00
R17,P9,EI17,attended,1,2025-08-24 10:28:00,2025-08-12 10:00:00
R18,P10,EI18,attended,1,2021-11-10 10:07:00,2021-10-13 10:00:00
R19,P11,EI19,attended,1,2023-03-01 10:22:00,2023-02-14 10:00:00
R20,P12,EI20,attended,1,2023-07-02 10:11:00,2023-06-22 10:00:00
R21,P12,EI21,attended,1,2023-09-05 10:17:00,2023-08-11 10:00:00
R22,P13,EI22,attended,1,2023-05-15 10:27:00,2023-05-05 10:00:00
R23,P13,EI23,no-show,0,,2025-02-25 10:00:00
R24,P14,EI24,attended,1,2022-09-29 10:28:00,2022-09-12 10:00:00
R25,P15,EI25,attended,1,2023-06-01 10:10:00,2023-05-23 10:00:00
R26,P16,EI26,no-show,0,,2025-09-17 10:00:00
R27,P17,EI27,attended,1,2022-11-23 10:11:00,2022-11-21 10:00:00
R28,P18,EI28,cancelled,0,,2023-03-28 10:00:00
R29,P18,EI29,attended,1,2023-09-12 10:19:00,2023-08-20 10:00:00
R30,P18,EI30,attended,1,2025-05-03 10:08:00,2025-04-17 10:00:00
R31,P19,EI31,no-show,0,,2022-08-27 10:00:00
R32,P19,EI32,attended,1,2022-06-15 10:26:00,2022-06-10 10:00:00
R33,P20,EI33,attended,1,2022-05-27 10:07:00,2022-05-10 10:00:00
R34,P20,EI34,attended,1,2022-06-24 10:23:00,2022-06-14 10:00:00
R35,P20,EI35,attended,1,2025-06-08 10:06:00,2025-05-21 10:00:00
R36,P21,EI36,attended,1,2024-04-21 10:11:00,2024-04-17 10:00:00
R37,P21,EI37,attended,1,2024-06-11 10:26:00,2024-05-18 10:00:00
R38,P22,EI38,attended,1,2024-01-14 10:04:00,2023-12-19 10:00:00
R39,P22,EI39,attended,1,2024-08-01 10:07:00,2024-07-30 10:00:00
R40,P23,EI40,attended,1,2023-03-11 10:14:00,2023-02-16 10:00:00
R41,P24,EI41,attended,1,2022-10-11 10:24:00,2022-09-20 10:00:00
R42,P24,EI42,attended,1,2023-06-18 10:03:00,2023-06-03 10:00:00
R43,P24,EI43,attended,1,2021-12-05 10:15:00,2021-12-04 10:00:00
R44,P24,EI44,attended,1,2024-10-22 10:01:00,2024-09-25 10:00:00
R45,P24,EI45,attended,1,2023-10-10 10:08:00,2023-10-01 10:00:00
R46,P24,EI46,attended,1,2022-09-04 10:12:00,2022-08-16 10:00:00
R47,P25,EI47,attended,1,2025-03-09 10:26:00,2025-02-27 10:00:00
R48,P26,EI48,attended,1,2023-04-15 10:01:00,2023-04-12 10:00:00
R49,P27,EI49,attended,1,2023-10-22 10:27:00,2023-10-13 10:00:00
R50,P27,EI5,attended,1,2023-08-27 10:12:00,2023-08-07 10:00:00
R51,P28,EI50,attended,1,2023-05-07 10:00:00,2023-04-21 10:00:00
R52,P29,EI51,attended,1,2023-05-16 10:12:00,2023-04-18 10:00:00
R53,P29,EI52,attended,1,2023-03-15 10:14:00,2023-03-02 10:00:00
R54,P29,EI53,attended,1,2024-12-27 10:07:00,2024-12-25 10:00:00
R55,P29,EI54,attended,1,2022-12-15 10:12:00,2022-12-08 10:00:00
R56,P29,EI55,attended,1,2025-05-09 10:21:00,2025-05-03 10:00:00
R57,P29,EI56,attended,1,2025-05-13 10:17:00,2025-04-29 10:00:00
R58,P29,EI57,attended,1,2023-08-20 10:21:00,2023-08-18 10:00:00
R59,P30,EI58,attended,1,2023-10-01 10:01:00,2023-09-21 10:00:00
R60,P31,EI59,attended,1,2025-09-04 10:24:00,2025-08-17 10:00:00
R61,P32,EI60,attended,1,2024-04-27 10:29:00,2024-04-15 10:00:00
R62,P32,EI61,attended,1,2023-03-04 10:29:00,2023-03-03 10:00:00
R63,P32,EI62,attended,1,2024-08-06 10:24:00,2024-07-17 10:00:00
R64,P33,EI63,cancelled,0,,2025-01-30 10:00:00
R65,P34,EI64,attended,1,2024-05-12 10:29:00,2024-04-15 10:00:00
R66,P35,EI65,attended,1,2025-11-02 10:25:00,2025-10-24 10:00:00
R67,P36,EI66,attended,1,2022-09-27 10:18:00,2022-09-02 10:00:00
R68,P36,EI67,attended,1,2025-09-24 10:24:00,2025-09-17 10:00:00
R69,P37,EI68,attended,1,2024-10-15 10:10:00,2024-10-14 10:00:00
R70,P37,EI69,attended,1,2022-09-24 10:26:00,2022-08-31 10:00:00
R71,P37,EI70,attended,1,2021-11-14 10:13:00,2021-10-25 10:00:00
R72,P38,EI8,attended,1,2025-10-05 10:13:00,2025-09-07 10:00:00
R73,P39,EI71,attended,1,2023-05-31 10:23:00,2023-05-05 10:00:00
R74,P40,EI72,attended,1,2025-07-20 10:24:00,2025-06-26 10:00:00
R75,P41,EI73,attended,1,2024-06-09 10:25:00,2024-06-07 10:00:00
R76,P42,EI74,attended,1,2021-12-04 10:17:00,2021-11-30 10:00:00
R77,P43,EI75,attended,1,2025-08-13 10:23:00,2025-07-31 10:00:00
R78,P43,EI76,attended,1,2023-03-24 10:09:00,2023-03-02 10:00:00
R79,P44,EI77,attended,1,2024-04-26 10:17:00,2024-03-29 10:00:00
R80,P45,EI78,attended,1,2024-02-15 10:13:00,2024-01-31 10:00:00
R81,P45,EI79,attended,1,2023-08-30 10:23:00,2023-08-11 10:00:00
R82,P45,EI80,attended,1,2025-08-31 10:24:00,2025-08-12 10:00:00
R83,P46,EI81,attended,1,2025-10-29 10:08:00,2025-10-12 10:00:00
R84,P47,EI82,attended,1,2025-02-14 10:12:00,2025-02-08 10:00:00
R85,P48,EI83,attended,1,2025-04-23 10:23:00,2025-04-08 10:00:00
R86,P49,EI84,attended,1,2022-02-09 10:04:00,2022-02-01 10:00:00
R87,P50,EI85,attended,1,2024-04-11 10:08:00,2024-04-10 10:00:00
R88,P51,EI86,attended,1,2023-08-19 10:21:00,2023-07-24 10:00:00
R89,P52,EI87,attended,1,2024-09-29 10:02:00,2024-09-20 10:00:00
R90,P52,EI42,attended,1,2023-06-18 10:24:00,2023-06-10 10:00:00
R91,P53,EI88,attended,1,2024-04-10 10:09:00,2024-03-23 10:00:00
R92,P54,EI89,attended,1,2023-03-12 10:18:00,2023-03-01 10:00:00
R93,P55,EI90,no-show,0,,2024-02-07 10:00:00
R94,P56,EI91,attended,1,2025-02-18 10:08:00,2025-01-29 10:00:00
R95,P56,EI92,attended,1,2025-10-12 10:08:00,2025-09-30 10:00:00
R96,P57,EI93,attended,1,2022-09-25 10:08:00,2022-09-03 10:00:00
R97,P57,EI94,attended,1,2022-12-18 10:20:00,2022-11-22 10:00:00
R98,P58,EI95,attended,1,2022-07-15 10:24:00,2022-06-19 10:00:00
R99,P58,EI96,attended,1,2022-11-13 10:00:00,2022-10-24 10:00:00
R100,P58,EI97,attended,1,2022-02-15 10:09:00,2022-02-11 10:00:00
R101,P58,EI98,attended,1,2025-06-12 10:21:00,2025-05-24 10:00:00
R102,P58,EI99,attended,1,2023-06-29 10:26:00,2023-06-18 10:00:00
R103,P58,EI100,attended,1,2024-03-28 10:27:00,2024-03-19 10:00:00
R104,P58,EI101,attended,1,2024-07-21 10:14:00,2024-07-15 10:00:00
R105,P59,EI102,no-show,0,,2025-01-29 10:00:00
R106,P59,EI103,attended,1,2023-11-02 10:00:00,2023-10-18 10:00:00
R107,P60,EI104,attended,1,2025-01-26 10:01:00,2025-01-11 10:00:00
R108,P60,EI105,attended,1,2022-05-01 10:15:00,2022-04-19 10:00:00
R109,P61,EI106,attended,1,2025-02-04 10:27:00,2025-01-14 10:00:00
R110,P62,EI107,attended,1,2025-08-14 10:06:00,2025-07-27 10:00:00
R111,P63,EI108,attended,1,2024-03-10 10:01:00,2024-02-25 10:00:00
R112,P64,EI109,attended,1,2024-08-18 10:02:00,2024-07-30 10:00:00
R113,P64,EI110,attended,1,2022-08-13 10:28:00,2022-08-04 10:00:00
R114,P64,EI111,attended,1,2025-08-23 10:17:00,2025-08-03 10:00:00
R115,P65,EI112,attended,1,2022-11-01 10:02:00,2022-10-21 10:00:00
